pos	good	ambiguous	bad
1	0	0	70
2	0	0	70
3	0	0	70
4	0	0	70
5	0	0	70
6	0	0	70
7	0	0	70
8	0	0	70
9	0	0	70
10	0	0	70
11	0	0	70
12	0	0	70
13	0	0	70
14	0	0	70
15	0	0	70
16	0	0	70
17	0	0	70
18	0	0	70
19	0	0	70
20	0	0	70
21	0	0	70
22	0	0	70
23	0	0	70
24	0	0	70
25	0	0	70
26	0	0	70
27	0	0	70
28	0	0	70
29	0	0	70
30	0	0	70
31	0	0	70
32	0	0	70
33	0	0	70
34	0	0	70
35	0	0	70
36	0	0	70
37	0	0	70
38	0	0	70
39	0	0	70
40	0	0	70
41	0	0	70
42	0	0	70
43	0	0	70
44	0	0	70
45	0	0	70
46	0	0	70
47	0	0	70
48	0	0	70
49	0	0	70
50	0	0	70
51	0	0	70
52	0	0	70
53	0	0	70
54	0	0	70
55	0	0	70
56	0	0	70
57	0	0	70
58	0	0	70
59	0	0	70
60	0	0	70
61	0	0	70
62	0	0	70
63	0	0	70
64	0	0	70
65	0	0	70
66	0	0	70
67	0	0	70
68	0	0	70
69	0	0	70
70	0	0	70
71	0	0	70
72	0	0	70
73	70	0	0
74	70	0	0
75	70	0	0
76	70	0	0
77	70	0	0
78	70	0	0
79	70	0	0
80	70	0	0
81	70	0	0
82	70	0	0
83	70	0	0
84	70	0	0
85	70	0	0
86	70	0	0
87	70	0	0
88	70	0	0
89	70	0	0
90	70	0	0
91	69	1	0
92	70	0	0
93	70	0	0
94	70	0	0
95	70	0	0
96	70	0	0
97	70	0	0
98	70	0	0
99	70	0	0
100	70	0	0
101	70	0	0
102	70	0	0
103	70	0	0
104	70	0	0
105	70	0	0
106	70	0	0
107	70	0	0
108	70	0	0
109	70	0	0
110	70	0	0
111	70	0	0
112	70	0	0
113	70	0	0
114	69	1	0
115	70	0	0
116	70	0	0
117	70	0	0
118	70	0	0
119	69	1	0
120	70	0	0
121	70	0	0
122	70	0	0
123	70	0	0
124	70	0	0
125	70	0	0
126	70	0	0
127	70	0	0
128	69	1	0
129	70	0	0
130	70	0	0
131	70	0	0
132	70	0	0
133	70	0	0
134	70	0	0
135	70	0	0
136	70	0	0
137	70	0	0
138	70	0	0
139	70	0	0
140	70	0	0
141	70	0	0
142	70	0	0
143	70	0	0
144	70	0	0
145	70	0	0
146	70	0	0
147	70	0	0
148	70	0	0
149	70	0	0
150	70	0	0
151	70	0	0
152	69	1	0
153	70	0	0
154	70	0	0
155	70	0	0
156	70	0	0
157	70	0	0
158	69	1	0
159	70	0	0
160	70	0	0
161	70	0	0
162	70	0	0
163	70	0	0
164	70	0	0
165	70	0	0
166	70	0	0
167	70	0	0
168	70	0	0
169	70	0	0
170	70	0	0
171	70	0	0
172	70	0	0
173	70	0	0
174	70	0	0
175	70	0	0
176	69	1	0
177	70	0	0
178	70	0	0
179	70	0	0
180	70	0	0
181	70	0	0
182	70	0	0
183	70	0	0
184	69	1	0
185	69	1	0
186	70	0	0
187	70	0	0
188	70	0	0
189	70	0	0
190	70	0	0
191	70	0	0
192	70	0	0
193	70	0	0
194	69	1	0
195	70	0	0
196	70	0	0
197	70	0	0
198	70	0	0
199	70	0	0
200	70	0	0
201	70	0	0
202	70	0	0
203	70	0	0
204	70	0	0
205	70	0	0
206	70	0	0
207	70	0	0
208	70	0	0
209	70	0	0
210	70	0	0
211	70	0	0
212	70	0	0
213	70	0	0
214	70	0	0
215	70	0	0
216	70	0	0
217	70	0	0
218	70	0	0
