sample	name	start	end	depth
Yale-RSV-0001	NS1 	45	576	665
Yale-RSV-0001	NS2 	596	1097	4237
Yale-RSV-0001	N 	1125	2329	9565
Yale-RSV-0001	P 	2331	3220	45678
Yale-RSV-0001	M 	3224	4180	45314
Yale-RSV-0001	SH 	4190	4599	670
Yale-RSV-0001	G 	4644	5565	59644
Yale-RSV-0001	F 	5619	7521	60704
Yale-RSV-0001	M2 	7567	8527	121606
Yale-RSV-0001	L	8460	15037	41279
sample	name	start	end	depth
Yale-RSV-0002	NS1 	45	576	3693
Yale-RSV-0002	NS2 	596	1097	315
Yale-RSV-0002	N 	1125	2329	99822
Yale-RSV-0002	P 	2331	3220	29064
Yale-RSV-0002	M 	3224	4180	101412
Yale-RSV-0002	SH 	4190	4599	5831
Yale-RSV-0002	G 	4644	5565	67738
Yale-RSV-0002	F 	5619	7521	132037
Yale-RSV-0002	M2 	7567	8527	117589
Yale-RSV-0002	L	8460	15037	102065
sample	name	start	end	depth
Yale-RSV-0003	NS1 	45	576	85065
Yale-RSV-0003	NS2 	596	1097	986
Yale-RSV-0003	N 	1125	2329	122309
Yale-RSV-0003	P 	2331	3220	65437
Yale-RSV-0003	M 	3224	4180	84731
Yale-RSV-0003	SH 	4190	4599	9495
Yale-RSV-0003	G 	4644	5565	47012
Yale-RSV-0003	F 	5619	7521	121301
Yale-RSV-0003	M2 	7567	8527	115391
Yale-RSV-0003	L	8460	15037	92317
sample	name	start	end	depth
Yale-RSV-0006	NS1 	45	576	21606
Yale-RSV-0006	NS2 	596	1097	79350
Yale-RSV-0006	N 	1125	2329	53339
Yale-RSV-0006	P 	2331	3220	45108
Yale-RSV-0006	M 	3224	4180	75891
Yale-RSV-0006	SH 	4190	4599	753
Yale-RSV-0006	G 	4644	5565	39176
Yale-RSV-0006	F 	5619	7521	138749
Yale-RSV-0006	M2 	7567	8527	93022
Yale-RSV-0006	L	8460	15037	117703
sample	name	start	end	depth
Yale-RSV-0007	NS1 	45	576	7144
Yale-RSV-0007	NS2 	596	1097	11770
Yale-RSV-0007	N 	1125	2329	21226
Yale-RSV-0007	P 	2331	3220	19887
Yale-RSV-0007	M 	3224	4180	23941
Yale-RSV-0007	SH 	4190	4599	3984
Yale-RSV-0007	G 	4644	5565	27372
Yale-RSV-0007	F 	5619	7521	57171
Yale-RSV-0007	M2 	7567	8527	45572
Yale-RSV-0007	L	8460	15037	44083
sample	name	start	end	depth
Yale-RSV-0008	NS1 	45	576	124364
Yale-RSV-0008	NS2 	596	1097	125873
Yale-RSV-0008	N 	1125	2329	103944
Yale-RSV-0008	P 	2331	3220	29971
Yale-RSV-0008	M 	3224	4180	88772
Yale-RSV-0008	SH 	4190	4599	101642
Yale-RSV-0008	G 	4644	5565	125536
Yale-RSV-0008	F 	5619	7521	146337
Yale-RSV-0008	M2 	7567	8527	134532
Yale-RSV-0008	L	8460	15037	97767
sample	name	start	end	depth
Yale-RSV-0020	NS1 	45	576	108554
Yale-RSV-0020	NS2 	596	1097	36299
Yale-RSV-0020	N 	1125	2329	193970
Yale-RSV-0020	P 	2331	3220	66480
Yale-RSV-0020	M 	3224	4180	166751
Yale-RSV-0020	SH 	4190	4599	100626
Yale-RSV-0020	G 	4644	5565	210207
Yale-RSV-0020	F 	5619	7521	209535
Yale-RSV-0020	M2 	7567	8527	161485
Yale-RSV-0020	L	8460	15037	147760
sample	name	start	end	depth
Yale-RSV-0026	NS1 	45	576	10250
Yale-RSV-0026	NS2 	596	1097	3213
Yale-RSV-0026	N 	1125	2329	155706
Yale-RSV-0026	P 	2331	3220	50380
Yale-RSV-0026	M 	3224	4180	77387
Yale-RSV-0026	SH 	4190	4599	5296
Yale-RSV-0026	G 	4644	5565	60473
Yale-RSV-0026	F 	5619	7521	161191
Yale-RSV-0026	M2 	7567	8527	203089
Yale-RSV-0026	L	8460	15037	124517
sample	name	start	end	depth
Yale-RSV-0029	NS1 	45	576	9347
Yale-RSV-0029	NS2 	596	1097	17992
Yale-RSV-0029	N 	1125	2329	30864
Yale-RSV-0029	P 	2331	3220	11290
Yale-RSV-0029	M 	3224	4180	26209
Yale-RSV-0029	SH 	4190	4599	66
Yale-RSV-0029	G 	4644	5565	1577
Yale-RSV-0029	F 	5619	7521	34750
Yale-RSV-0029	M2 	7567	8527	22014
Yale-RSV-0029	L	8460	15037	28871
sample	name	start	end	depth
Yale-RSV-0030	NS1 	45	576	54795
Yale-RSV-0030	NS2 	596	1097	198738
Yale-RSV-0030	N 	1125	2329	169372
Yale-RSV-0030	P 	2331	3220	39202
Yale-RSV-0030	M 	3224	4180	62364
Yale-RSV-0030	SH 	4190	4599	57555
Yale-RSV-0030	G 	4644	5565	129267
Yale-RSV-0030	F 	5619	7521	121677
Yale-RSV-0030	M2 	7567	8527	124989
Yale-RSV-0030	L	8460	15037	86108
sample	name	start	end	depth
Yale-RSV-0037	NS1 	45	576	227
Yale-RSV-0037	NS2 	596	1097	45
Yale-RSV-0037	N 	1125	2329	60170
Yale-RSV-0037	P 	2331	3220	20137
Yale-RSV-0037	M 	3224	4180	57639
Yale-RSV-0037	SH 	4190	4599	1226
Yale-RSV-0037	G 	4644	5565	51276
Yale-RSV-0037	F 	5619	7521	86625
Yale-RSV-0037	M2 	7567	8527	104075
Yale-RSV-0037	L	8460	15037	85863
sample	name	start	end	depth
Yale-RSV-0043	NS1 	45	576	106519
Yale-RSV-0043	NS2 	596	1097	169292
Yale-RSV-0043	N 	1125	2329	179253
Yale-RSV-0043	P 	2331	3220	70966
Yale-RSV-0043	M 	3224	4180	123196
Yale-RSV-0043	SH 	4190	4599	112539
Yale-RSV-0043	G 	4644	5565	213525
Yale-RSV-0043	F 	5619	7521	203029
Yale-RSV-0043	M2 	7567	8527	218479
Yale-RSV-0043	L	8460	15037	149150
sample	name	start	end	depth
Yale-RSV-0044	NS1 	45	576	16290
Yale-RSV-0044	NS2 	596	1097	36984
Yale-RSV-0044	N 	1125	2329	61808
Yale-RSV-0044	P 	2331	3220	32009
Yale-RSV-0044	M 	3224	4180	46264
Yale-RSV-0044	SH 	4190	4599	95
Yale-RSV-0044	G 	4644	5565	1882
Yale-RSV-0044	F 	5619	7521	91440
Yale-RSV-0044	M2 	7567	8527	49643
Yale-RSV-0044	L	8460	15037	73430
sample	name	start	end	depth
Yale-RSV-0047	NS1 	45	576	15660
Yale-RSV-0047	NS2 	596	1097	10655
Yale-RSV-0047	N 	1125	2329	43693
Yale-RSV-0047	P 	2331	3220	32669
Yale-RSV-0047	M 	3224	4180	63691
Yale-RSV-0047	SH 	4190	4599	1070
Yale-RSV-0047	G 	4644	5565	2441
Yale-RSV-0047	F 	5619	7521	92229
Yale-RSV-0047	M2 	7567	8527	54511
Yale-RSV-0047	L	8460	15037	44575
sample	name	start	end	depth
Yale-RSV-0051	NS1 	45	576	10694
Yale-RSV-0051	NS2 	596	1097	9560
Yale-RSV-0051	N 	1125	2329	36668
Yale-RSV-0051	P 	2331	3220	15090
Yale-RSV-0051	M 	3224	4180	30052
Yale-RSV-0051	SH 	4190	4599	59
Yale-RSV-0051	G 	4644	5565	935
Yale-RSV-0051	F 	5619	7521	39812
Yale-RSV-0051	M2 	7567	8527	29233
Yale-RSV-0051	L	8460	15037	39673
sample	name	start	end	depth
Yale-RSV-0053	NS1 	45	576	80290
Yale-RSV-0053	NS2 	596	1097	3262
Yale-RSV-0053	N 	1125	2329	89933
Yale-RSV-0053	P 	2331	3220	48570
Yale-RSV-0053	M 	3224	4180	66890
Yale-RSV-0053	SH 	4190	4599	14227
Yale-RSV-0053	G 	4644	5565	61976
Yale-RSV-0053	F 	5619	7521	162444
Yale-RSV-0053	M2 	7567	8527	139175
Yale-RSV-0053	L	8460	15037	112160
sample	name	start	end	depth
Yale-RSV-0055	NS1 	45	576	58208
Yale-RSV-0055	NS2 	596	1097	89658
Yale-RSV-0055	N 	1125	2329	103534
Yale-RSV-0055	P 	2331	3220	37517
Yale-RSV-0055	M 	3224	4180	61384
Yale-RSV-0055	SH 	4190	4599	58907
Yale-RSV-0055	G 	4644	5565	110432
Yale-RSV-0055	F 	5619	7521	100113
Yale-RSV-0055	M2 	7567	8527	105193
Yale-RSV-0055	L	8460	15037	77119
sample	name	start	end	depth
Yale-RSV-0061	NS1 	45	576	47495
Yale-RSV-0061	NS2 	596	1097	10066
Yale-RSV-0061	N 	1125	2329	55301
Yale-RSV-0061	P 	2331	3220	14525
Yale-RSV-0061	M 	3224	4180	45601
Yale-RSV-0061	SH 	4190	4599	3542
Yale-RSV-0061	G 	4644	5565	49085
Yale-RSV-0061	F 	5619	7521	93456
Yale-RSV-0061	M2 	7567	8527	85986
Yale-RSV-0061	L	8460	15037	53227
sample	name	start	end	depth
Yale-RSV-0070	NS1 	45	576	19863
Yale-RSV-0070	NS2 	596	1097	64840
Yale-RSV-0070	N 	1125	2329	64643
Yale-RSV-0070	P 	2331	3220	50014
Yale-RSV-0070	M 	3224	4180	61255
Yale-RSV-0070	SH 	4190	4599	65
Yale-RSV-0070	G 	4644	5565	3406
Yale-RSV-0070	F 	5619	7521	104152
Yale-RSV-0070	M2 	7567	8527	53190
Yale-RSV-0070	L	8460	15037	94590
sample	name	start	end	depth
Yale-RSV-0071	NS1 	45	576	11150
Yale-RSV-0071	NS2 	596	1097	14231
Yale-RSV-0071	N 	1125	2329	47201
Yale-RSV-0071	P 	2331	3220	6624
Yale-RSV-0071	M 	3224	4180	38017
Yale-RSV-0071	SH 	4190	4599	177
Yale-RSV-0071	G 	4644	5565	9
Yale-RSV-0071	F 	5619	7521	64239
Yale-RSV-0071	M2 	7567	8527	70980
Yale-RSV-0071	L	8460	15037	48949
sample	name	start	end	depth
Yale-RSV-0075	NS1 	45	576	112355
Yale-RSV-0075	NS2 	596	1097	139
Yale-RSV-0075	N 	1125	2329	104174
Yale-RSV-0075	P 	2331	3220	22536
Yale-RSV-0075	M 	3224	4180	54457
Yale-RSV-0075	SH 	4190	4599	4473
Yale-RSV-0075	G 	4644	5565	68019
Yale-RSV-0075	F 	5619	7521	191213
Yale-RSV-0075	M2 	7567	8527	202342
Yale-RSV-0075	L	8460	15037	128161
sample	name	start	end	depth
Yale-RSV-0076	NS1 	45	576	119000
Yale-RSV-0076	NS2 	596	1097	809
Yale-RSV-0076	N 	1125	2329	123126
Yale-RSV-0076	P 	2331	3220	39200
Yale-RSV-0076	M 	3224	4180	100373
Yale-RSV-0076	SH 	4190	4599	7417
