sample	name	start	end	depth
Yale-RSV-0001	NS1 gene	45	577	1904
Yale-RSV-0001	NS2 gene	594	1098	1873
Yale-RSV-0001	N gene	1125	2327	8684
Yale-RSV-0001	P gene	2331	3244	25356
Yale-RSV-0001	M gene	3254	4208	25630
Yale-RSV-0001	SH gene	4218	4630	5
Yale-RSV-0001	G gene	4675	5600	233
Yale-RSV-0001	F gene	5653	7552	42771
Yale-RSV-0001	M2 gene	7609	8568	45593
Yale-RSV-0001	L gene	8501	15080	26695
sample	name	start	end	depth
Yale-RSV-0002	NS1 gene	45	577	2941
Yale-RSV-0002	NS2 gene	594	1098	19981
Yale-RSV-0002	N gene	1125	2327	50911
Yale-RSV-0002	P gene	2331	3244	21477
Yale-RSV-0002	M gene	3254	4208	42737
Yale-RSV-0002	SH gene	4218	4630	28517
Yale-RSV-0002	G gene	4675	5600	20776
Yale-RSV-0002	F gene	5653	7552	36850
Yale-RSV-0002	M2 gene	7609	8568	75964
Yale-RSV-0002	L gene	8501	15080	74180
sample	name	start	end	depth
Yale-RSV-0003	NS1 gene	45	577	26070
Yale-RSV-0003	NS2 gene	594	1098	26000
Yale-RSV-0003	N gene	1125	2327	77728
Yale-RSV-0003	P gene	2331	3244	41675
Yale-RSV-0003	M gene	3254	4208	48119
Yale-RSV-0003	SH gene	4218	4630	45648
Yale-RSV-0003	G gene	4675	5600	40069
Yale-RSV-0003	F gene	5653	7552	57440
Yale-RSV-0003	M2 gene	7609	8568	82429
Yale-RSV-0003	L gene	8501	15080	68683
sample	name	start	end	depth
Yale-RSV-0004	NS1 gene	45	577	48601
Yale-RSV-0004	NS2 gene	594	1098	64642
Yale-RSV-0004	N gene	1125	2327	153655
Yale-RSV-0004	P gene	2331	3244	33098
Yale-RSV-0004	M gene	3254	4208	152270
Yale-RSV-0004	SH gene	4218	4630	93602
Yale-RSV-0004	G gene	4675	5600	92398
Yale-RSV-0004	F gene	5653	7552	197926
Yale-RSV-0004	M2 gene	7609	8568	205133
Yale-RSV-0004	L gene	8501	15080	73021
sample	name	start	end	depth
Yale-RSV-0005	NS1 gene	45	577	34415
Yale-RSV-0005	NS2 gene	594	1098	105274
Yale-RSV-0005	N gene	1125	2327	49208
Yale-RSV-0005	P gene	2331	3244	34119
Yale-RSV-0005	M gene	3254	4208	68932
Yale-RSV-0005	SH gene	4218	4630	4899
Yale-RSV-0005	G gene	4675	5600	2656
Yale-RSV-0005	F gene	5653	7552	129057
Yale-RSV-0005	M2 gene	7609	8568	117834
Yale-RSV-0005	L gene	8501	15080	59454
sample	name	start	end	depth
Yale-RSV-0006	NS1 gene	45	577	81576
Yale-RSV-0006	NS2 gene	594	1098	169054
Yale-RSV-0006	N gene	1125	2327	126375
Yale-RSV-0006	P gene	2331	3244	59124
Yale-RSV-0006	M gene	3254	4208	164167
Yale-RSV-0006	SH gene	4218	4630	3673
Yale-RSV-0006	G gene	4675	5600	9238
Yale-RSV-0006	F gene	5653	7552	340914
Yale-RSV-0006	M2 gene	7609	8568	285210
Yale-RSV-0006	L gene	8501	15080	151574
sample	name	start	end	depth
Yale-RSV-0007	NS1 gene	45	577	24352
Yale-RSV-0007	NS2 gene	594	1098	18293
Yale-RSV-0007	N gene	1125	2327	48602
Yale-RSV-0007	P gene	2331	3244	14500
Yale-RSV-0007	M gene	3254	4208	57177
Yale-RSV-0007	SH gene	4218	4630	829
Yale-RSV-0007	G gene	4675	5600	3546
Yale-RSV-0007	F gene	5653	7552	103190
Yale-RSV-0007	M2 gene	7609	8568	92556
Yale-RSV-0007	L gene	8501	15080	47166
sample	name	start	end	depth
Yale-RSV-0008	NS1 gene	45	577	26133
Yale-RSV-0008	NS2 gene	594	1098	73528
Yale-RSV-0008	N gene	1125	2327	32244
Yale-RSV-0008	P gene	2331	3244	10911
Yale-RSV-0008	M gene	3254	4208	28190
Yale-RSV-0008	SH gene	4218	4630	2451
Yale-RSV-0008	G gene	4675	5600	2235
Yale-RSV-0008	F gene	5653	7552	35264
Yale-RSV-0008	M2 gene	7609	8568	69263
Yale-RSV-0008	L gene	8501	15080	61029
sample	name	start	end	depth
Yale-RSV-0009	NS1 gene	45	577	20823
Yale-RSV-0009	NS2 gene	594	1098	37728
Yale-RSV-0009	N gene	1125	2327	38710
Yale-RSV-0009	P gene	2331	3244	15844
Yale-RSV-0009	M gene	3254	4208	51690
Yale-RSV-0009	SH gene	4218	4630	15083
Yale-RSV-0009	G gene	4675	5600	13145
Yale-RSV-0009	F gene	5653	7552	84294
Yale-RSV-0009	M2 gene	7609	8568	59963
Yale-RSV-0009	L gene	8501	15080	42384
sample	name	start	end	depth
Yale-RSV-0010	NS1 gene	45	577	1884
Yale-RSV-0010	NS2 gene	594	1098	448
Yale-RSV-0010	N gene	1125	2327	4693
Yale-RSV-0010	P gene	2331	3244	6
Yale-RSV-0010	M gene	3254	4208	39
Yale-RSV-0010	SH gene	4218	4630	85
Yale-RSV-0010	G gene	4675	5600	140
Yale-RSV-0010	F gene	5653	7552	29827
Yale-RSV-0010	M2 gene	7609	8568	7614
Yale-RSV-0010	L gene	8501	15080	7073
sample	name	start	end	depth
Yale-RSV-0011	NS1 gene	45	577	44401
Yale-RSV-0011	NS2 gene	594	1098	107135
Yale-RSV-0011	N gene	1125	2327	88964
Yale-RSV-0011	P gene	2331	3244	43029
Yale-RSV-0011	M gene	3254	4208	109620
Yale-RSV-0011	SH gene	4218	4630	38605
Yale-RSV-0011	G gene	4675	5600	18721
Yale-RSV-0011	F gene	5653	7552	120680
Yale-RSV-0011	M2 gene	7609	8568	149384
Yale-RSV-0011	L gene	8501	15080	77552
sample	name	start	end	depth
Yale-RSV-0012	NS1 gene	45	577	63733
Yale-RSV-0012	NS2 gene	594	1098	92503
Yale-RSV-0012	N gene	1125	2327	139100
Yale-RSV-0012	P gene	2331	3244	45295
Yale-RSV-0012	M gene	3254	4208	119003
Yale-RSV-0012	SH gene	4218	4630	42567
Yale-RSV-0012	G gene	4675	5600	16859
Yale-RSV-0012	F gene	5653	7552	255054
Yale-RSV-0012	M2 gene	7609	8568	247367
Yale-RSV-0012	L gene	8501	15080	105633
sample	name	start	end	depth
Yale-RSV-0013	NS1 gene	45	577	90236
Yale-RSV-0013	NS2 gene	594	1098	73331
Yale-RSV-0013	N gene	1125	2327	149168
Yale-RSV-0013	P gene	2331	3244	50211
Yale-RSV-0013	M gene	3254	4208	200786
Yale-RSV-0013	SH gene	4218	4630	45815
Yale-RSV-0013	G gene	4675	5600	27337
Yale-RSV-0013	F gene	5653	7552	208163
Yale-RSV-0013	M2 gene	7609	8568	269058
Yale-RSV-0013	L gene	8501	15080	108196
sample	name	start	end	depth
Yale-RSV-0014	NS1 gene	45	577	17539
Yale-RSV-0014	NS2 gene	594	1098	186019
Yale-RSV-0014	N gene	1125	2327	140615
Yale-RSV-0014	P gene	2331	3244	69705
Yale-RSV-0014	M gene	3254	4208	157227
Yale-RSV-0014	SH gene	4218	4630	58325
Yale-RSV-0014	G gene	4675	5600	53039
Yale-RSV-0014	F gene	5653	7552	267497
Yale-RSV-0014	M2 gene	7609	8568	232791
Yale-RSV-0014	L gene	8501	15080	139393
sample	name	start	end	depth
Yale-RSV-0015	NS1 gene	45	577	51901
Yale-RSV-0015	NS2 gene	594	1098	85467
Yale-RSV-0015	N gene	1125	2327	125715
Yale-RSV-0015	P gene	2331	3244	41198
Yale-RSV-0015	M gene	3254	4208	144193
Yale-RSV-0015	SH gene	4218	4630	37682
Yale-RSV-0015	G gene	4675	5600	32378
Yale-RSV-0015	F gene	5653	7552	220117
Yale-RSV-0015	M2 gene	7609	8568	204362
Yale-RSV-0015	L gene	8501	15080	107347
sample	name	start	end	depth
Yale-RSV-0016	NS1 gene	45	577	48642
Yale-RSV-0016	NS2 gene	594	1098	42809
Yale-RSV-0016	N gene	1125	2327	100427
Yale-RSV-0016	P gene	2331	3244	34427
Yale-RSV-0016	M gene	3254	4208	124784
Yale-RSV-0016	SH gene	4218	4630	33288
Yale-RSV-0016	G gene	4675	5600	18116
Yale-RSV-0016	F gene	5653	7552	163777
Yale-RSV-0016	M2 gene	7609	8568	157312
Yale-RSV-0016	L gene	8501	15080	70882
sample	name	start	end	depth
Yale-RSV-0017	NS1 gene	45	577	61557
Yale-RSV-0017	NS2 gene	594	1098	92723
Yale-RSV-0017	N gene	1125	2327	149311
Yale-RSV-0017	P gene	2331	3244	59817
Yale-RSV-0017	M gene	3254	4208	205178
Yale-RSV-0017	SH gene	4218	4630	54277
Yale-RSV-0017	G gene	4675	5600	28354
Yale-RSV-0017	F gene	5653	7552	274448
Yale-RSV-0017	M2 gene	7609	8568	292736
Yale-RSV-0017	L gene	8501	15080	130874
sample	name	start	end	depth
Yale-RSV-0018	NS1 gene	45	577	65971
Yale-RSV-0018	NS2 gene	594	1098	107877
Yale-RSV-0018	N gene	1125	2327	133589
Yale-RSV-0018	P gene	2331	3244	48189
Yale-RSV-0018	M gene	3254	4208	163308
Yale-RSV-0018	SH gene	4218	4630	61839
Yale-RSV-0018	G gene	4675	5600	18319
Yale-RSV-0018	F gene	5653	7552	210456
Yale-RSV-0018	M2 gene	7609	8568	225571
Yale-RSV-0018	L gene	8501	15080	115225
sample	name	start	end	depth
Yale-RSV-0019	NS1 gene	45	577	44
Yale-RSV-0019	NS2 gene	594	1098	633
Yale-RSV-0019	N gene	1125	2327	3
Yale-RSV-0019	P gene	2331	3244	6
Yale-RSV-0019	M gene	3254	4208	15540
Yale-RSV-0019	SH gene	4218	4630	4
Yale-RSV-0019	G gene	4675	5600	8
Yale-RSV-0019	F gene	5653	7552	86
Yale-RSV-0019	M2 gene	7609	8568	7974
Yale-RSV-0019	L gene	8501	15080	69
sample	name	start	end	depth
Yale-RSV-0021	NS1 gene	45	577	292
Yale-RSV-0021	NS2 gene	594	1098	17
Yale-RSV-0021	N gene	1125	2327	3
Yale-RSV-0021	P gene	2331	3244	15
Yale-RSV-0021	M gene	3254	4208	11366
Yale-RSV-0021	SH gene	4218	4630	8
Yale-RSV-0021	G gene	4675	5600	17
Yale-RSV-0021	F gene	5653	7552	77
Yale-RSV-0021	M2 gene	7609	8568	38
Yale-RSV-0021	L gene	8501	15080	7696
sample	name	start	end	depth
Yale-RSV-0022	NS1 gene	45	577	82811
Yale-RSV-0022	NS2 gene	594	1098	163445
Yale-RSV-0022	N gene	1125	2327	167129
Yale-RSV-0022	P gene	2331	3244	73715
Yale-RSV-0022	M gene	3254	4208	211706
Yale-RSV-0022	SH gene	4218	4630	76577
Yale-RSV-0022	G gene	4675	5600	33841
Yale-RSV-0022	F gene	5653	7552	251399
Yale-RSV-0022	M2 gene	7609	8568	279052
Yale-RSV-0022	L gene	8501	15080	153973
sample	name	start	end	depth
Yale-RSV-0023	NS1 gene	45	577	86498
Yale-RSV-0023	NS2 gene	594	1098	248414
Yale-RSV-0023	N gene	1125	2327	160624
Yale-RSV-0023	P gene	2331	3244	94091
Yale-RSV-0023	M gene	3254	4208	178094
Yale-RSV-0023	SH gene	4218	4630	78843
Yale-RSV-0023	G gene	4675	5600	72992
Yale-RSV-0023	F gene	5653	7552	336159
Yale-RSV-0023	M2 gene	7609	8568	300686
Yale-RSV-0023	L gene	8501	15080	165413
sample	name	start	end	depth
Yale-RSV-0024	NS1 gene	45	577	9239
Yale-RSV-0024	NS2 gene	594	1098	63046
Yale-RSV-0024	N gene	1125	2327	122531
Yale-RSV-0024	P gene	2331	3244	42678
Yale-RSV-0024	M gene	3254	4208	128722
Yale-RSV-0024	SH gene	4218	4630	37193
Yale-RSV-0024	G gene	4675	5600	30537
Yale-RSV-0024	F gene	5653	7552	213726
Yale-RSV-0024	M2 gene	7609	8568	208597
Yale-RSV-0024	L gene	8501	15080	96159
sample	name	start	end	depth
Yale-RSV-0025	NS1 gene	45	577	11773
Yale-RSV-0025	NS2 gene	594	1098	112110
Yale-RSV-0025	N gene	1125	2327	102141
Yale-RSV-0025	P gene	2331	3244	47053
Yale-RSV-0025	M gene	3254	4208	128766
Yale-RSV-0025	SH gene	4218	4630	39727
Yale-RSV-0025	G gene	4675	5600	56514
Yale-RSV-0025	F gene	5653	7552	184974
Yale-RSV-0025	M2 gene	7609	8568	166070
Yale-RSV-0025	L gene	8501	15080	100410
sample	name	start	end	depth
Yale-RSV-0026	NS1 gene	45	577	6053
Yale-RSV-0026	NS2 gene	594	1098	8206
Yale-RSV-0026	N gene	1125	2327	111806
Yale-RSV-0026	P gene	2331	3244	36973
Yale-RSV-0026	M gene	3254	4208	64527
Yale-RSV-0026	SH gene	4218	4630	7423
Yale-RSV-0026	G gene	4675	5600	8612
Yale-RSV-0026	F gene	5653	7552	99806
Yale-RSV-0026	M2 gene	7609	8568	165271
Yale-RSV-0026	L gene	8501	15080	89535
sample	name	start	end	depth
Yale-RSV-0027	NS1 gene	45	577	58908
Yale-RSV-0027	NS2 gene	594	1098	198959
Yale-RSV-0027	N gene	1125	2327	112091
Yale-RSV-0027	P gene	2331	3244	55914
Yale-RSV-0027	M gene	3254	4208	115260
Yale-RSV-0027	SH gene	4218	4630	42703
Yale-RSV-0027	G gene	4675	5600	29408
Yale-RSV-0027	F gene	5653	7552	204493
Yale-RSV-0027	M2 gene	7609	8568	207886
Yale-RSV-0027	L gene	8501	15080	101011
sample	name	start	end	depth
Yale-RSV-0028	NS1 gene	45	577	88036
Yale-RSV-0028	NS2 gene	594	1098	84384
Yale-RSV-0028	N gene	1125	2327	161704
